 Subcycle   Step   binding_Energy   VDW_Energy   ELE+EGB_Energy  Scaled_Peptide_
 Energy
    6   18  -20.7567  -50.3201   29.5634    0.0000
    6   19  -21.4464  -47.6980   26.2516    0.0000
    6   20  -21.4464  -47.6980   26.2516    0.0000
    6   21  -20.2149  -43.8380   23.6231    0.0000
    6   22  -26.5940  -50.5445   23.9505    0.0000
    6   23  -25.5229  -50.3434   24.8205    0.0000
    6   24  -26.5100  -51.4941   24.9841    0.0000
    6   25  -25.5472  -48.2658   22.7186    0.0000
    6   26  -25.1069  -47.2071   22.1002    0.0000
    6   27  -27.0020  -50.0302   23.0283    0.0000
    6   28  -27.0020  -50.0302   23.0283    0.0000
    6   29  -21.6334  -47.7011   26.0676    0.0000
    6   30  -16.2338  -37.6393   21.4055    0.0000
    6   31  -14.5258  -34.3627   19.8370    0.0000
    6   32  -14.5258  -34.3627   19.8370    0.0000
    6   33  -15.8951  -35.0770   19.1818    0.0000
    6   34  -14.0403  -38.6136   24.5733    0.0000
    6   35  -21.0537  -44.8780   23.8243    0.0000
    6   36  -20.5014  -43.3364   22.8350    0.0000
    6   37  -17.1802  -38.7930   21.6128    0.0000
    6   38  -12.3343  -33.6661   21.3318    0.0000
    6   39  -12.4578  -34.0714   21.6136    0.0000
    6   40  -12.7849  -34.1000   21.3151    0.0000
    6   41   -6.5532  -39.2932   32.7400    0.0000
    6   42   -7.8360  -38.9738   31.1378    0.0000
    6   43   -9.9025  -41.1907   31.2882    0.0000
    6   44  -24.9473  -48.3482   23.4009    0.0000
    6   45  -24.9473  -48.3482   23.4009    0.0000
    6   46  -21.4861  -42.4646   20.9785    0.0000
    6   47  -26.9381  -44.9148   17.9767    0.0000
    6   48  -26.5207  -46.0441   19.5233    0.0000
    6   49  -24.6216  -43.9852   19.3635    0.0000
    6   50  -24.2828  -42.3282   18.0454    0.0000
    6   51  -24.2828  -42.3282   18.0454    0.0000
    6   52  -23.7849  -43.3759   19.5910    0.0000
    6   53  -24.9511  -45.7796   20.8284    0.0000
    6   54  -22.7701  -43.2376   20.4675    0.0000
    6   55  -22.7701  -43.2376   20.4675    0.0000
    6   56  -23.4095  -43.2954   19.8859    0.0000
    6   57  -15.1153  -35.1932   20.0779    0.0000
    6   58  -15.7665  -35.6557   19.8892    0.0000
    6   59  -12.8754  -33.5782   20.7028    0.0000
    6   60  -12.8754  -33.5782   20.7028    0.0000
    6   61  -21.9761  -44.2261   22.2500    0.0000
    6   62  -23.9663  -44.8734   20.9071    0.0000
    6   63  -26.5616  -48.8384   22.2768    0.0000
    6   64  -26.5845  -48.2207   21.6362    0.0000
    6   65  -26.5845  -48.2207   21.6362    0.0000
    6   66  -23.5648  -43.3480   19.7832    0.0000
    6   67  -24.3189  -42.9005   18.5816    0.0000
    6   68  -24.5381  -43.7881   19.2500    0.0000
    6   69  -24.5381  -43.7881   19.2500    0.0000
    6   70  -23.2900  -42.7399   19.4499    0.0000
    6   71  -20.2597  -41.3193   21.0596    0.0000
    6   72  -22.0410  -42.9942   20.9533    0.0000
    6   73  -21.7700  -42.2798   20.5099    0.0000
    6   74  -22.9577  -46.0512   23.0935    0.0000
    6   75  -27.6440  -50.3614   22.7174    0.0000
    7    0  -29.1526  -53.2681   24.1155    0.0000
    7    1  -27.7938  -50.1314   22.3376    0.0000
    7    2  -27.8171  -52.8690   25.0519    0.0000
    7    3  -27.7028  -52.7831   25.0803    0.0000
    7    4  -28.4043  -53.4575   25.0532    0.0000
    7    5  -30.2566  -54.8990   24.6424    0.0000
    7    6  -32.2530  -56.3539   24.1009    0.0000
    7    7  -32.2530  -56.3539   24.1009    0.0000
    7    8  -32.2530  -56.3539   24.1009    0.0000
    7    9  -32.2530  -56.3539   24.1009    0.0000
    7   10  -32.3253  -56.4155   24.0902    0.0000
    7   11  -32.6134  -56.4880   23.8746    0.0000
    7   12  -29.3719  -55.3283   25.9563    0.0000
    7   13  -29.8648  -58.4264   28.5616    0.0000
    7   14  -23.2023  -48.3787   25.1764    0.0000
    7   15  -20.9475  -48.2689   27.3214    0.0000
    7   16  -21.2807  -48.4259   27.1452    0.0000
    7   17  -21.2807  -48.4259   27.1452    0.0000
    7   18  -22.9254  -51.8379   28.9126    0.0000
    7   19  -23.1595  -51.2322   28.0727    0.0000
    7   20  -23.1595  -51.2322   28.0727    0.0000
    7   21  -22.1957  -53.7400   31.5442    0.0000
    7   22  -19.2946  -48.1828   28.8882    0.0000
    7   23  -19.2946  -48.1828   28.8882    0.0000
    7   24  -19.0823  -48.4466   29.3643    0.0000
    7   25  -18.9492  -44.4278   25.4786    0.0000
    7   26  -16.0840  -41.7435   25.6594    0.0000
    7   27  -20.5151  -49.0667   28.5516    0.0000
    7   28  -22.6560  -52.7340   30.0780    0.0000
    7   29  -22.6053  -52.5949   29.9896    0.0000
    7   30  -21.6476  -53.4453   31.7977    0.0000
    7   31  -21.6476  -53.4453   31.7977    0.0000
    7   32  -19.4715  -46.9340   27.4625    0.0000
    7   33  -23.6236  -53.4666   29.8430    0.0000
